________________________________________________________________________________
Marvellous Infosystems Process Logger : Sun Jun 23 13:32:13 2024
________________________________________________________________________________

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2700, 'vms': 3.43359375}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 2712, 'vms': 1.2890625}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 2752, 'vms': 43.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 2844, 'vms': 18.21875}
{'name': 'svchost.exe', 'username': None, 'pid': 2888, 'vms': 2.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 2896, 'vms': 1.28515625}
{'name': 'svchost.exe', 'username': None, 'pid': 2948, 'vms': 1.93359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2968, 'vms': 1.8671875}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 2976, 'vms': 203.6015625}
{'name': 'MemCompression', 'username': None, 'pid': 2980, 'vms': 1.5546875}
{'name': 'AppHelperCap.exe', 'username': None, 'pid': 3012, 'vms': 6.55859375}
{'name': 'DiagsCap.exe', 'username': None, 'pid': 3040, 'vms': 10.70703125}
{'name': 'NetworkCap.exe', 'username': None, 'pid': 3060, 'vms': 5.1015625}
{'name': 'hp-one-agent-service.exe', 'username': None, 'pid': 3136, 'vms': 6.81640625}
{'name': 'conhost.exe', 'username': 'SHITAL\\telis', 'pid': 3200, 'vms': 1.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3204, 'vms': 4.09375}
{'name': 'svchost.exe', 'username': None, 'pid': 3224, 'vms': 15.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 3304, 'vms': 6.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 3396, 'vms': 3.8515625}
{'name': 'sihost.exe', 'username': 'SHITAL\\telis', 'pid': 3444, 'vms': 6.4453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3496, 'vms': 1.44921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3504, 'vms': 1.2890625}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 3520, 'vms': 8.48828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3584, 'vms': 8.75}
{'name': 'svchost.exe', 'username': None, 'pid': 3604, 'vms': 10.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 3672, 'vms': 1.6796875}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 3684, 'vms': 1.9296875}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 3704, 'vms': 23.3828125}
{'name': 'svchost.exe', 'username': None, 'pid': 3892, 'vms': 2.0390625}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 3900, 'vms': 7.2109375}
{'name': 'igfxEMN.exe', 'username': 'SHITAL\\telis', 'pid': 3944, 'vms': 3.4453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3952, 'vms': 3.5390625}
{'name': 'taskhostw.exe', 'username': 'SHITAL\\telis', 'pid': 4084, 'vms': 8.8125}
{'name': 'svchost.exe', 'username': None, 'pid': 4124, 'vms': 6.6171875}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4208, 'vms': 29.9375}
{'name': 'svchost.exe', 'username': None, 'pid': 4212, 'vms': 1.38671875}
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 4232, 'vms': 5.46875}
{'name': 'svchost.exe', 'username': None, 'pid': 4276, 'vms': 3.0}
{'name': 'esif_uf.exe', 'username': None, 'pid': 4340, 'vms': 1.765625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 4372, 'vms': 5.21875}
{'name': 'svchost.exe', 'username': None, 'pid': 4448, 'vms': 1.6484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4476, 'vms': 25.953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4552, 'vms': 1.88671875}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 4580, 'vms': 217.21484375}
{'name': 'ONENOTEM.EXE', 'username': 'SHITAL\\telis', 'pid': 4588, 'vms': 2.96875}
{'name': 'svchost.exe', 'username': None, 'pid': 4592, 'vms': 32.55859375}
{'name': 'unsecapp.exe', 'username': None, 'pid': 4836, 'vms': 1.9609375}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 4844, 'vms': 161.34375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4880, 'vms': 3.5546875}
{'name': 'svchost.exe', 'username': None, 'pid': 5072, 'vms': 1.3515625}
{'name': 'svchost.exe', 'username': None, 'pid': 5080, 'vms': 5.89453125}
{'name': 'ETDService.exe', 'username': None, 'pid': 5088, 'vms': 1.38671875}
{'name': 'RtkAudUService64.exe', 'username': 'SHITAL\\telis', 'pid': 5092, 'vms': 21.62109375}
{'name': 'HPCommRecovery.exe', 'username': None, 'pid': 5180, 'vms': 18.80859375}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 5192, 'vms': 31.86328125}
{'name': 'conhost.exe', 'username': None, 'pid': 5232, 'vms': 5.125}
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 5240, 'vms': 35.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5296, 'vms': 2.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 5348, 'vms': 2.82421875}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5356, 'vms': 1.27734375}
{'name': 'ctfmon.exe', 'username': 'SHITAL\\telis', 'pid': 5448, 'vms': 36.2890625}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 5480, 'vms': 65.19921875}
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 5544, 'vms': 10.16015625}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5568, 'vms': 37.09375}
{'name': 'mfemms.exe', 'username': None, 'pid': 5584, 'vms': 4.61328125}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5592, 'vms': 6.83984375}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 5676, 'vms': 250.01171875}
{'name': 'svchost.exe', 'username': None, 'pid': 5688, 'vms': 2.265625}
{'name': 'PEFService.exe', 'username': None, 'pid': 5696, 'vms': 19.1796875}
{'name': 'RstMwService.exe', 'username': None, 'pid': 5720, 'vms': 2.046875}
{'name': 'ETDCtrl.exe', 'username': 'SHITAL\\telis', 'pid': 5732, 'vms': 7.046875}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5740, 'vms': 22.66796875}
{'name': 'svchost.exe', 'username': None, 'pid': 5748, 'vms': 1.4765625}
{'name': 'RtkBtManServ.exe', 'username': None, 'pid': 5780, 'vms': 2.1171875}
{'name': 'SECOMN64.exe', 'username': None, 'pid': 5804, 'vms': 2.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 5876, 'vms': 1.859375}
{'name': 'svchost.exe', 'username': None, 'pid': 5904, 'vms': 1.27734375}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 5928, 'vms': 8.42578125}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 6024, 'vms': 2.62109375}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 6068, 'vms': 340.109375}
{'name': 'svchost.exe', 'username': None, 'pid': 6088, 'vms': 4.375}
{'name': 'svchost.exe', 'username': None, 'pid': 6200, 'vms': 2.65234375}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 6252, 'vms': 11.3203125}
{'name': 'dllhost.exe', 'username': 'SHITAL\\telis', 'pid': 6772, 'vms': 6.2734375}
{'name': 'SECOCL64.exe', 'username': 'SHITAL\\telis', 'pid': 6804, 'vms': 2.20703125}
{'name': 'conhost.exe', 'username': 'SHITAL\\telis', 'pid': 6816, 'vms': 5.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 6960, 'vms': 3.3671875}
{'name': 'dllhost.exe', 'username': 'SHITAL\\telis', 'pid': 7056, 'vms': 5.796875}
{'name': 'taskhostw.exe', 'username': None, 'pid': 7296, 'vms': 8.48046875}
{'name': 'svchost.exe', 'username': None, 'pid': 7328, 'vms': 1.98828125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 7572, 'vms': 34.91796875}
{'name': 'svchost.exe', 'username': None, 'pid': 7580, 'vms': 1.63671875}
{'name': 'conhost.exe', 'username': 'SHITAL\\telis', 'pid': 7660, 'vms': 5.25}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 7716, 'vms': 12.671875}
{'name': 'HPQuickDrop.exe', 'username': 'SHITAL\\telis', 'pid': 7796, 'vms': 42.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 7976, 'vms': 3.3671875}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 8364, 'vms': 3.1796875}
{'name': 'explorer.exe', 'username': 'SHITAL\\telis', 'pid': 8388, 'vms': 447.5625}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 8456, 'vms': 1.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 8552, 'vms': 2.37890625}
{'name': 'svchost.exe', 'username': None, 'pid': 8648, 'vms': 1.93359375}
{'name': 'svchost.exe', 'username': None, 'pid': 8724, 'vms': 1.76171875}
{'name': 'dllhost.exe', 'username': 'SHITAL\\telis', 'pid': 8736, 'vms': 1.45703125}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 8776, 'vms': 8.15625}
{'name': 'OpenConsole.exe', 'username': 'SHITAL\\telis', 'pid': 8792, 'vms': 2.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 8832, 'vms': 2.01171875}
{'name': 'mcapexe.exe', 'username': None, 'pid': 8928, 'vms': 2.875}
{'name': 'BridgeCommunication.exe', 'username': 'SHITAL\\telis', 'pid': 8952, 'vms': 6.03125}
{'name': 'svchost.exe', 'username': None, 'pid': 8956, 'vms': 5.0546875}
{'name': 'svchost.exe', 'username': None, 'pid': 8964, 'vms': 2.31640625}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 8988, 'vms': 121.95703125}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 9076, 'vms': 21.48828125}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 9108, 'vms': 8.60546875}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 9224, 'vms': 1.58203125}
{'name': 'SecurityHealthSystray.exe', 'username': 'SHITAL\\telis', 'pid': 9332, 'vms': 1.77734375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 9408, 'vms': 7.19921875}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 9580, 'vms': 7.20703125}
{'name': 'SearchHost.exe', 'username': 'SHITAL\\telis', 'pid': 9632, 'vms': 234.87890625}
{'name': 'StartMenuExperienceHost.exe', 'username': 'SHITAL\\telis', 'pid': 9640, 'vms': 76.875}
{'name': 'Widgets.exe', 'username': 'SHITAL\\telis', 'pid': 9800, 'vms': 11.359375}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 9860, 'vms': 11.66796875}
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 9880, 'vms': 7.80078125}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 9972, 'vms': 7.75}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 10112, 'vms': 2.0546875}
{'name': 'python.exe', 'username': 'SHITAL\\telis', 'pid': 10128, 'vms': 14.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 10440, 'vms': 1.96484375}
{'name': 'taskhostw.exe', 'username': 'SHITAL\\telis', 'pid': 10620, 'vms': 4.95703125}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 10776, 'vms': 155.0625}
{'name': 'powershell.exe', 'username': 'SHITAL\\telis', 'pid': 10864, 'vms': 53.54296875}
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 10956, 'vms': 28.8359375}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 11224, 'vms': 6.57421875}
{'name': 'DesktopExtension.exe', 'username': 'SHITAL\\telis', 'pid': 11248, 'vms': 31.53125}
{'name': 'msteams.exe', 'username': 'SHITAL\\telis', 'pid': 11268, 'vms': 60.2734375}
{'name': 'ModuleCoreService.exe', 'username': 'SHITAL\\telis', 'pid': 11312, 'vms': 12.16015625}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 11512, 'vms': 2.01953125}
{'name': 'mcshield.exe', 'username': None, 'pid': 11572, 'vms': 34.76171875}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 11636, 'vms': 30.6484375}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 11824, 'vms': 148.40625}
{'name': 'NisSrv.exe', 'username': None, 'pid': 11888, 'vms': 3.74609375}
{'name': 'TextInputHost.exe', 'username': 'SHITAL\\telis', 'pid': 12116, 'vms': 71.4453125}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 12216, 'vms': 24.3671875}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 12244, 'vms': 9.31640625}
{'name': 'LockApp.exe', 'username': 'SHITAL\\telis', 'pid': 12464, 'vms': 42.9140625}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 12472, 'vms': 125.09375}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 12744, 'vms': 138.04296875}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 12768, 'vms': 65.765625}
{'name': 'svchost.exe', 'username': None, 'pid': 12788, 'vms': 5.46484375}
{'name': 'cmd.exe', 'username': 'SHITAL\\telis', 'pid': 12872, 'vms': 2.0625}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 12916, 'vms': 13.97265625}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 12972, 'vms': 2.15234375}
{'name': 'WhatsApp.exe', 'username': 'SHITAL\\telis', 'pid': 13112, 'vms': 228.5390625}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 13136, 'vms': 2.2265625}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 13404, 'vms': 2.69140625}
{'name': 'powershell.exe', 'username': 'SHITAL\\telis', 'pid': 13452, 'vms': 54.7421875}
{'name': 'HP.myHP.exe', 'username': 'SHITAL\\telis', 'pid': 13660, 'vms': 49.40625}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 13688, 'vms': 7.67578125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 13700, 'vms': 11.04296875}
{'name': 'WidgetService.exe', 'username': 'SHITAL\\telis', 'pid': 13704, 'vms': 4.58984375}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 13740, 'vms': 107.625}
{'name': 'SystemSettings.exe', 'username': 'SHITAL\\telis', 'pid': 13776, 'vms': 112.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 13836, 'vms': 3.64453125}
{'name': 'svchost.exe', 'username': None, 'pid': 13844, 'vms': 2.3828125}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 13884, 'vms': 14.04296875}
{'name': 'svchost.exe', 'username': None, 'pid': 13964, 'vms': 2.06640625}
{'name': 'ApplicationFrameHost.exe', 'username': 'SHITAL\\telis', 'pid': 14060, 'vms': 17.15234375}
{'name': 'LocationNotificationWindows.exe', 'username': 'SHITAL\\telis', 'pid': 14188, 'vms': 1.88671875}
{'name': 'ShellExperienceHost.exe', 'username': 'SHITAL\\telis', 'pid': 14204, 'vms': 36.50390625}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 14508, 'vms': 82.55859375}
{'name': 'DevHome.PI.exe', 'username': 'SHITAL\\telis', 'pid': 14708, 'vms': 65.0859375}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 15204, 'vms': 16.7421875}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 15252, 'vms': 25.58203125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15376, 'vms': 42.5078125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15416, 'vms': 2.11328125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15580, 'vms': 75.2890625}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15600, 'vms': 11.09765625}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15656, 'vms': 8.48828125}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 15688, 'vms': 245.4140625}
{'name': 'McUICnt.exe', 'username': 'SHITAL\\telis', 'pid': 15928, 'vms': 11.72265625}
{'name': 'msedgewebview2.exe', 'username': 'SHITAL\\telis', 'pid': 16300, 'vms': 7.46875}
{'name': 'svchost.exe', 'username': None, 'pid': 16352, 'vms': 2.47265625}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 16408, 'vms': 80.8671875}
{'name': 'WindowsTerminal.exe', 'username': 'SHITAL\\telis', 'pid': 16428, 'vms': 101.2578125}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 16524, 'vms': 127.53515625}
{'name': 'msedge.exe', 'username': 'SHITAL\\telis', 'pid': 16552, 'vms': 22.49609375}
{'name': 'SDXHelper.exe', 'username': 'SHITAL\\telis', 'pid': 16792, 'vms': 12.265625}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 16968, 'vms': 16.015625}
{'name': 'conhost.exe', 'username': 'SHITAL\\telis', 'pid': 17256, 'vms': 1.31640625}
{'name': 'McAMTaskAgent.exe', 'username': None, 'pid': 17392, 'vms': 1.59765625}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 17444, 'vms': 87.19921875}
{'name': 'svchost.exe', 'username': None, 'pid': 17600, 'vms': 4.078125}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 17692, 'vms': 173.3671875}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 17864, 'vms': 191.703125}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 17924, 'vms': 1.734375}
{'name': 'conhost.exe', 'username': 'SHITAL\\telis', 'pid': 18028, 'vms': 1.37109375}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 18032, 'vms': 179.171875}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 18076, 'vms': 20.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 18300, 'vms': 1.3359375}
{'name': 'Code.exe', 'username': 'SHITAL\\telis', 'pid': 18348, 'vms': 117.03125}
